 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account!

 Ground state electric dipole moment in X,Y,Z:    0.000275    0.000170   -0.000000 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0    89     0.3348120    -0.5419622    -0.0000000    11.29500     0.11230
     0    90     0.0000000     0.0000000    -0.0000002    11.37900     0.00000
     0    91     0.0000000     0.0000000    -0.2212345    11.42980     0.01371
     0    92     0.0000800    -0.0000253     0.0000000    11.43850     0.00000
     0    93     0.0007043    -0.0011798    -0.0000000    11.43880     0.00000
     0    94    -0.0000000     0.0000000    -0.0000110    11.50790     0.00000
     0    95     0.0000000     0.0000000    -0.3281592    11.54510     0.03046
     0    96    -0.1905273     0.3083699     0.0000000    11.55810     0.03721
     0    97     0.0000124     0.0000089    -0.0000000    11.69320     0.00000
     0    98    -0.0000000    -0.0000000     0.0000286    11.72530     0.00000
     0    99     0.0000000    -0.0000000    -0.0002229    11.72860     0.00000
     0   100     0.0000000     0.0000000     0.0000003    11.74840     0.00000
     0   101     0.0000000    -0.0000000    -0.0004599    11.75310     0.00000
     0   102    -0.0000703    -0.0000421     0.0000000    11.75580     0.00000
     0   103    -0.0003652    -0.0002246     0.0000000    11.77140     0.00000
     0   104    -0.0002755     0.0004448    -0.0000000    11.81500     0.00000
     0   105     0.0000000    -0.0000000    -0.0006142    11.85590     0.00000
     0   106    -0.0000000    -0.0000000     0.0000256    11.95810     0.00000
     0   107    -0.0000000     0.0000000     0.0000196    12.03960     0.00000
     0   108    -0.0000064     0.0000109    -0.0000000    12.06700     0.00000
     0   109    -0.0000931    -0.0000605    -0.0000000    12.06730     0.00000
     0   110     0.0000000     0.0000000    -0.0000006    12.08020     0.00000
     0   111    -0.0000000     0.0000000     0.0000005    12.09010     0.00000
     0   112    -0.0000000    -0.0000000     0.0000005    12.13780     0.00000
     0   113    -0.1606702     0.2600275    -0.0000000    12.17300     0.02786
     0   114     0.0003912    -0.0006334     0.0000000    12.18560     0.00000
     0   115    -0.0000000     0.0000000    -0.0000155    12.22680     0.00000
     0   116     0.0638182    -0.1033392     0.0000000    12.29320     0.00444
     0   117    -0.0000000    -0.0000000    -0.1899924    12.30150     0.01088
     0   118     0.0000000    -0.0000000    -0.0023104    12.31810     0.00000
     0   119    -0.0000000    -0.0000000     0.3920378    12.32370     0.04640
     0   120    -0.0035486     0.0057490     0.0000000    12.33030     0.00001
     0   121     0.0000000     0.0000000     0.7145232    12.37660     0.15481
     0   122     0.4755593     0.2938800     0.0000000    12.47140     0.09549
     0   123    -0.0000000     0.0000000     0.0009005    12.49170     0.00000
     0   124     0.3072304    -0.4971139     0.0000000    12.53130     0.10485
     0   125     0.0000623     0.0004632    -0.0000000    12.53140     0.00000
     0   126    -0.0128382    -0.0079427     0.0000000    12.64120     0.00007
     0   127    -0.2292185    -0.1416243     0.0000000    12.64250     0.02249
     0   128     0.2127259    -0.3443031     0.0000000    12.72440     0.05106
     0   129    -0.0000000    -0.0000000    -0.0000007    12.75710     0.00000
     0   130     0.0000000     0.0000000     0.0000001    12.76810     0.00000
     0   131     0.3214274     0.1985722    -0.0000000    12.81740     0.04483
     0   132     0.0000000    -0.0000000    -0.0001414    12.83930     0.00000
     0   133    -0.0012489    -0.0007632     0.0000000    12.84480     0.00000
     0   134     0.3000677     0.1854444    -0.0000000    13.00910     0.03966
     0   135     0.5125836    -0.8296047    -0.0000000    13.02620     0.30349
     0   136     0.0054300    -0.0087926     0.0000000    13.04210     0.00003
     0   137     0.0000000     0.0000000    -0.3256706    13.08780     0.03401
     0   138     0.0000000    -0.0000000    -0.0000000    13.11600     0.00000
     0   139    -0.0997332    -0.0615756    -0.0000000    13.11830     0.00442
     0   140     0.0000000    -0.0000000     0.0000021    13.31180     0.00000
     0   141    -0.2321029    -0.1434144     0.0000000    13.31560     0.02428
     0   142     0.0149081    -0.0243410    -0.0000000    13.33720     0.00027
     0   143    -0.0000000     0.0000000    -0.0000274    13.33950     0.00000
     0   144    -0.0012225     0.0019803    -0.0000000    13.35240     0.00000
     0   145     0.0732761     0.0452378     0.0000000    13.36800     0.00243
     0   146     0.0000000    -0.0000000    -0.0002708    13.36960     0.00000
     0   147    -0.0000000     0.0000000    -0.1209093    13.42570     0.00481
     0   148    -0.0246361     0.0397390     0.0000000    13.43460     0.00072
     0   149    -0.0000000     0.0000000    -0.0000085    13.47820     0.00000
