i j mx my mz deltaE
0 111 0.76830660 -0.47472820 0.00000000 12.09000000
0 112 0.78407410 -0.48441800 0.00000000 12.13780000
0 113 0.00000000 0.00000000 0.00045050 12.17300000
0 114 0.00000000 0.00000000 -0.68903640 12.18560000
0 115 0.00041940 -0.00025290 0.00000000 12.22680000
0 116 0.00000000 0.00000000 -0.00003820 12.29320000
0 117 -0.00011590 -0.00019230 0.00000000 12.30150000
0 118 -0.24623170 -0.39830680 0.00000000 12.31800000
0 119 0.00134360 0.00217580 0.00000000 12.32370000
0 120 0.00000000 0.00000000 0.00002320 12.33030000
0 121 0.00018020 0.00028360 0.00000000 12.37660000
0 122 0.00000000 0.00000000 -0.00000060 12.47140000
0 123 -0.14740820 -0.23820310 0.00000000 12.49180000
0 124 0.00000000 0.00000000 -0.00072400 12.53130000
0 125 0.00000000 0.00000000 0.00001660 12.53140000
0 126 0.00000000 0.00000000 0.00002550 12.64130000
0 127 0.00000000 0.00000000 0.00000070 12.64240000
0 128 0.00000000 0.00000000 0.00131680 12.72440000
0 129 0.06367050 -0.03931960 0.00000000 12.75710000
0 130 0.11263370 -0.06958240 0.00000000 12.76810000
0 131 0.00000000 0.00000000 -0.00000640 12.81730000
0 132 0.32706490 0.52946290 0.00000000 12.83930000
0 133 0.00000000 0.00000000 -0.00005660 12.84480000
0 134 0.00000000 0.00000000 0.00007600 13.00910000
0 135 0.00000000 0.00000000 -0.00289990 13.02620000
0 136 0.00000000 0.00000000 0.02786800 13.04210000
0 137 -0.00012620 -0.00020560 0.00000000 13.08780000
0 138 -0.59943020 0.37036580 0.00000000 13.11590000
0 139 0.00000000 0.00000000 -0.00000990 13.11830000
0 140 0.90243410 -0.55766720 0.00000000 13.31180000
0 141 0.00000000 0.00000000 0.00000290 13.31560000
0 142 0.00000000 0.00000000 0.00039480 13.33720000
0 143 0.00087400 -0.00052790 0.00000000 13.33950000
0 144 0.00000000 0.00000000 -0.58332200 13.35240000
0 145 0.00000000 0.00000000 0.00004080 13.36800000
0 146 0.00196210 0.00288350 0.00000000 13.36960000
0 147 0.00014730 0.00013550 0.00000000 13.42570000
0 148 0.00000000 0.00000000 -0.00165770 13.43460000
0 149 -0.10972670 0.06776760 0.00000000 13.47820000
0 150 0.00000000 0.00000000 0.00050800 13.49200000
0 151 0.00000000 0.00000000 -0.00191580 13.50180000
0 152 0.00000000 0.00000000 0.00002740 13.53380000
0 153 0.00004790 0.00008470 0.00000000 13.57630000
0 154 0.00000000 0.00000000 0.00006780 13.60880000
0 155 0.08762240 0.14168470 0.00000000 13.60910000
