 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account!

 Ground state electric dipole moment in X,Y,Z:    0.000274   -0.000169    0.000000 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0    91     0.0000000     0.0000000    -0.2211790    11.42980     0.01370
     0    92     0.0000876     0.0000505     0.0000000    11.43850     0.00000
     0    93     0.0007081     0.0011817     0.0000000    11.43880     0.00000
     0    94     0.0000000     0.0000000     0.0000035    11.50790     0.00000
     0    95     0.0000000     0.0000000    -0.3281927    11.54510     0.03047
     0    96    -0.1905325    -0.3083727     0.0000000    11.55810     0.03721
     0    97    -0.0000152    -0.0000025     0.0000000    11.69320     0.00000
     0    98     0.0000000     0.0000000     0.0000315    11.72520     0.00000
     0    99     0.0000000     0.0000000    -0.0002260    11.72860     0.00000
     0   100     0.0000000     0.0000000     0.0000013    11.74840     0.00000
     0   101     0.0000000     0.0000000    -0.0004558    11.75310     0.00000
     0   102    -0.0000672     0.0000487     0.0000000    11.75580     0.00000
     0   103    -0.0003607     0.0002258     0.0000000    11.77140     0.00000
     0   104    -0.0002734    -0.0004451     0.0000000    11.81510     0.00000
     0   105     0.0000000     0.0000000    -0.0006117    11.85590     0.00000
     0   106     0.0000000     0.0000000     0.0000091    11.95810     0.00000
     0   107     0.0000000     0.0000000     0.0000244    12.03960     0.00000
     0   108    -0.0000009     0.0000198     0.0000000    12.06700     0.00000
     0   109     0.0001058    -0.0000511     0.0000000    12.06730     0.00000
     0   110     0.0000000     0.0000000    -0.0000076    12.08020     0.00000
     0   111     0.0000000     0.0000000     0.0000014    12.09000     0.00000
     0   112     0.0000000     0.0000000    -0.0000051    12.13780     0.00000
     0   113    -0.1606511    -0.2600158     0.0000000    12.17300     0.02786
     0   114    -0.0003845    -0.0006205     0.0000000    12.18560     0.00000
     0   115     0.0000000     0.0000000     0.0000496    12.22680     0.00000
     0   116     0.0638485     0.1033619     0.0000000    12.29320     0.00445
     0   117     0.0000000     0.0000000    -0.1899722    12.30150     0.01088
     0   118     0.0000000     0.0000000     0.0022899    12.31800     0.00000
     0   119     0.0000000     0.0000000     0.3920243    12.32370     0.04640
     0   120    -0.0035776    -0.0057507     0.0000000    12.33030     0.00001
     0   121     0.0000000     0.0000000     0.7145419    12.37660     0.15482
     0   122     0.4755444    -0.2939126     0.0000000    12.47140     0.09549
     0   123     0.0000000     0.0000000     0.0009064    12.49180     0.00000
     0   124    -0.3072656    -0.4971148     0.0000000    12.53130     0.10486
     0   125     0.0019340     0.0025695     0.0000000    12.53140     0.00000
     0   126    -0.0134115     0.0082748     0.0000000    12.64130     0.00008
     0   127    -0.2291739     0.1415917     0.0000000    12.64240     0.02248
     0   128    -0.2126935    -0.3442899     0.0000000    12.72440     0.05106
     0   129     0.0000000     0.0000000     0.0000058    12.75710     0.00000
     0   130     0.0000000     0.0000000    -0.0000013    12.76810     0.00000
     0   131     0.3214032    -0.1985359     0.0000000    12.81730     0.04482
     0   132     0.0000000     0.0000000    -0.0001433    12.83930     0.00000
     0   133    -0.0012132     0.0007912     0.0000000    12.84480     0.00000
     0   134     0.2999130    -0.1855352     0.0000000    13.00910     0.03964
     0   135    -0.5126062    -0.8295820     0.0000000    13.02620     0.30349
     0   136     0.0053945     0.0087781     0.0000000    13.04210     0.00003
     0   137     0.0000000     0.0000000    -0.3256731    13.08780     0.03401
     0   138     0.0000000     0.0000000     0.0000020    13.11590     0.00000
     0   139    -0.0997752     0.0615780     0.0000000    13.11830     0.00442
